"","run.order","std.order","dist","x1","x2","x3","WWR_N","WWR_E","RoofOvrhng_N","RoofOvrhng_E"
"1",1,1,0.125,0.093,-0.011,-0.083,0.140063007380623,0.205183336597481,0.503512805951643,0.53787730091493
"2",2,2,0.25,0.185,-0.022,-0.166,0.104032939208996,0.183406453975782,0.528675263675119,0.524412523566011
"3",3,3,0.375,0.278,-0.033,-0.25,0.178988225583909,0.128695217298462,0.440444353164713,0.502030963621865
"4",4,4,0.5,0.371,-0.044,-0.333,0.091652832756456,0.154948764140279,0.54222773122637,0.523149563270876
"5",5,5,0.625,0.463,-0.055,-0.416,0.20946871108282,0.159443405124186,0.46887095916885,0.522559396145328
"6",6,6,0.75,0.557,-0.066,-0.5,0.184576539147344,0.174362502598689,0.436195953022975,0.504266057403792
"7",7,7,0.875,0.649,-0.076,-0.583,0.122316891173901,0.222412836555595,0.429657732610922,0.51345912081055
"8",8,8,1,0.741,-0.087,-0.666,0.0425910116065746,0.132549797591466,0.483027107716242,0.510642261174765
"9",9,9,1.125,0.833,-0.098,-0.748,0.153484736212714,0.0778483168018254,0.500304104337118,0.452197721140299
"10",10,10,1.25,0.927,-0.109,-0.832,0.139704716749711,0.188408971282809,0.426829472129359,0.587817554795744
"11",11,11,1.375,1.019,-0.12,-0.915,0.115417271551359,0.107145097291926,0.494593305986663,0.466547179996391
"12",12,12,1.5,1.11,-0.131,-0.997,0.138758484541644,0.158766573680632,0.474410024074117,0.460337147826988
