in:FO ,out:DA,out:cDA,out:UDI,out:sDA50,out:sDA80,img
1,77.355123,83.097214,75.765642,0.948505,0.663101,FO1.png
2,81.23193,84.942295,78.74894,0.990525,0.70024,FO2.png
3,83.722884,85.971747,68.397214,0.998542,0.93356,FO3.png
4,80.617951,84.735691,72.979116,0.966472,0.815305,FO4.png
5,82.782302,85.596021,69.549439,0.988338,0.839578,FO5.png
6,79.176996,84.125677,74.639839,0.964355,0.694334,FO6.png
7,78.754042,83.24934,61.951832,0.940962,0.741378,FO7.png
8,79.508968,84.081242,69.633235,0.956268,0.760554,FO8.png
9,82.672877,85.587263,68.625909,0.983236,0.860563,FO9.png
10,83.322933,85.826779,69.58266,0.994898,0.90041,FO10.png
11,83.0264,85.716982,69.780056,0.988338,0.882626,FO11.png
