in:FO ,out:DA,out:cDA,out:UDI,out:sDA50,out:sDA80,img
1,73.544905,81.542435,81.468168,0.957349,0.321006,FO1.png
2,76.328856,82.770218,78.974926,0.971865,0.42468,FO2.png
3,77.235123,83.168126,80.874912,0.973032,0.429354,FO3.png
4,78.373425,83.605095,79.425888,0.981086,0.47183,FO4.png
5,81.815319,85.176196,75.672435,0.998542,0.730551,FO5.png
6,79.331719,84.192428,77.171881,0.97383,0.621823,FO6.png
7,80.155628,84.556119,78.469375,0.977405,0.68803,FO7.png
8,80.784253,84.766898,78.94207,0.984694,0.676193,FO8.png
9,80.750547,84.672947,78.072204,0.997813,0.618147,FO9.png
10,77.813095,83.494779,79.97647,0.969457,0.508812,FO10.png
11,78.290028,83.691888,81.967712,0.977428,0.463409,FO11.png
